rpps,civilite_exercice,civilite_code,civilite,nom,prenom,profession_code,profession_libelle,mode_exercice,cabinet_nom,cabinet_enseigne,complement,adresse_numero,adresse_type,adresse_libelle,code_postal,commune,telephone,email,secteur_activite,source,nom_complet,adresse_complete,specialite_code,specialite_libelle,latitude,longitude,score_geocodage,type_geocodage,adresse_normalisee
10003456789,DR,M,M,MOREAU,Pierre,10,MEDECIN,L,CABINET DU DR MOREAU,,, 12,RUE,DE LA PAIX,78000,VERSAILLES,0130456789,,SA07,rpps_activite,MOREAU Pierre,12 RUE DE LA PAIX 78000 VERSAILLES,1,MEDECINE GENERALE,48.8014,2.1301,0.95,housenumber,12 Rue de la Paix
10003456790,DR,MME,MME,FONTAINE,Marie,10,MEDECIN,L,CABINET DR FONTAINE,,,5,AVENUE,VICTOR HUGO,78300,POISSY,0130789456,,SA07,rpps_activite,FONTAINE Marie,5 AVENUE VICTOR HUGO 78300 POISSY,1,MEDECINE GENERALE,48.9293,2.0452,0.92,housenumber,5 Avenue Victor Hugo
10003456791,DR,MME,MME,LEROY,Sophie,10,MEDECIN,L,CABINET DR LEROY,,,8,RUE,DU GENERAL DE GAULLE,78100,SAINT-GERMAIN-EN-LAYE,0139654321,,SA07,rpps_activite,LEROY Sophie,8 RUE DU GENERAL DE GAULLE 78100 SAINT-GERMAIN-EN-LAYE,1,MEDECINE GENERALE,48.8990,2.0935,0.91,housenumber,8 Rue du Général de Gaulle
10003456792,DR,M,M,DUPUIS,Alain,10,MEDECIN,L,CABINET DR DUPUIS,,,3,PLACE,DE LA REPUBLIQUE,78200,MANTES-LA-JOLIE,0134112233,,SA07,rpps_activite,DUPUIS Alain,3 PLACE DE LA REPUBLIQUE 78200 MANTES-LA-JOLIE,1,MEDECINE GENERALE,48.9900,1.7177,0.90,housenumber,3 Place de la République
10003456793,DR,M,M,BERNARD,Luc,10,MEDECIN,L,CABINET DR BERNARD,,,15,RUE,SAINT-LOUIS,78000,VERSAILLES,0130554433,,SA07,rpps_activite,BERNARD Luc,15 RUE SAINT-LOUIS 78000 VERSAILLES,62,CARDIOLOGIE,48.8036,2.1361,0.93,housenumber,15 Rue Saint-Louis
10003456794,DR,MME,MME,PETIT,Nathalie,10,MEDECIN,L,CABINET DR PETIT,,,22,RUE,DES LILAS,78500,SARTROUVILLE,0139445566,,SA07,rpps_activite,PETIT Nathalie,22 RUE DES LILAS 78500 SARTROUVILLE,1,MEDECINE GENERALE,48.9370,2.1640,0.88,housenumber,22 Rue des Lilas
10003456795,DR,M,M,RENAUD,Jacques,10,MEDECIN,L,CABINET DR RENAUD,,,4,BOULEVARD,DES ALLIES,78000,VERSAILLES,0130223344,,SA07,rpps_activite,RENAUD Jacques,4 BOULEVARD DES ALLIES 78000 VERSAILLES,15,NEUROLOGIE,48.7960,2.1250,0.87,housenumber,4 Boulevard des Alliés
10003456796,DR,MME,MME,SIMON,Isabelle,10,MEDECIN,L,CABINET DR SIMON,,,9,RUE,CARNOT,78600,MAISONS-LAFFITTE,0139662211,,SA07,rpps_activite,SIMON Isabelle,9 RUE CARNOT 78600 MAISONS-LAFFITTE,33,PSYCHIATRIE,48.9490,2.1490,0.89,housenumber,9 Rue Carnot
10003456797,DR,M,M,ROUSSEAU,Claire,10,MEDECIN,L,CABINET DR ROUSSEAU,,,22,RUE,JULES BARNI,80000,AMIENS,0322456789,,SA09,rpps_activite,ROUSSEAU Claire,22 RUE JULES BARNI 80000 AMIENS,1,MEDECINE GENERALE,49.8941,2.2958,0.94,housenumber,22 Rue Jules Barni
10003456798,DR,M,M,MARTIN,Paul,10,MEDECIN,L,CABINET DR MARTIN,,,6,BOULEVARD,ALSACE-LORRAINE,80000,AMIENS,0322789654,,SA09,rpps_activite,MARTIN Paul,6 BOULEVARD ALSACE-LORRAINE 80000 AMIENS,1,MEDECINE GENERALE,49.9012,2.3014,0.93,housenumber,6 Boulevard Alsace-Lorraine
